Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
l1tex__t_set_accesses_pipe_tex_mem_texture_op_tex                           # of cache set accesses for TEX instructions                                                        
smsp__inst_executed_op_global_ld                                            # of warp instructions executed: LDG                                                                
gpu__cycles_elapsed                                                         # of cycles elapsed on GPU                                                                          
lts__t_requests_srcunit_tex_aperture_sysmem_op_membar_lookup_hit            # of LTS requests from unit TEX accessing system memory (sysmem) for memory barriers that hit       
lts__t_requests_srcunit_tex_aperture_peer_op_atom_lookup_miss               # of LTS requests from unit TEX accessing peer memory (peermem) for all atomics that missed         
lts__t_sectors_srcunit_l1_op_red                                            # of LTS sectors from unit L1 for reductions                                                        
sm__warps_active                                                            cumulative # of warps in flight                                                                     
lts__t_sectors_aperture_peer_op_write_lookup_miss                           # of LTS sectors accessing peer memory (peermem) for writes that missed                             
lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_miss               # of LTS sectors from unit TEX accessing device memory (vidmem) for reductions that missed          
lts__t_sectors_op_read                                                      # of LTS sectors for reads                                                                          
l1tex__t_set_accesses_pipe_tex_mem_surface_op_atom                          # of cache set accesses for surface atomics                                                         
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_alu_lookup_hit       # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic ALU (non-CAS) that hit   
l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_miss                    # of sector requests to T-Stage that missed for global atomics                                      
lts__t_requests_srcunit_l1_op_read                                          # of LTS requests from unit L1 for reads                                                            
smsp__cycles_active                                                         # of cycles with at least one warp in flight                                                        
tpc__warps_active_shader_cs_realtime                                        cumulative # of active CS warps                                                                     
lts__t_requests_srcunit_l1_aperture_peer_op_read_lookup_hit                 # of LTS requests from unit L1 accessing peer memory (peermem) for reads that hit                   
lts__t_sectors_equiv_l1tagmiss_pipe_lsu_mem_global_op_st                    # of sectors requested for global stores                                                            
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_miss              # of LTS sectors from unit TEX accessing system memory (sysmem) for all atomics that missed         
lts__t_sectors_srcunit_l1_aperture_peer_op_membar_lookup_miss               # of LTS sectors from unit L1 accessing peer memory (peermem) for memory barriers that missed       
sm__cycles_elapsed                                                          # of cycles elapsed on SM                                                                           
sm__inst_executed_pipe_fma                                                  # of warp instructions executed by fma pipe                                                         
lts__t_sectors_srcunit_l1_lookup_hit                                        # of LTS sectors from unit L1 that hit                                                              
smsp__mio2rf_writeback_active_pipe_adu                                      # of cycles where the MIO to register file writeback interface was active for ADU return data       
lts__t_sectors_aperture_sysmem_op_membar                                    # of LTS sectors accessing system memory (sysmem) for memory barriers                               
l1tex__t_bytes_pipe_lsu_mem_local_op_st_lookup_hit                          # of bytes requested with tag-hit and data-hit for local stores                                     
lts__t_requests_srcunit_l1_op_red                                           # of LTS requests from unit L1 for reductions                                                       
lts__t_requests_srcunit_tex_aperture_sysmem_op_write                        # of LTS requests from unit TEX accessing system memory (sysmem) for writes                         
lts__t_requests_srcunit_tex_aperture_sysmem_lookup_miss                     # of LTS requests from unit TEX accessing system memory (sysmem) that missed                        
smsp__inst_executed_op_surface_red                                          # of warp instructions executed: SURED                                                              
lts__t_requests_srcunit_l1_aperture_peer_op_read                            # of LTS requests from unit L1 accessing peer memory (peermem) for reads                            
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_cas_lookup_miss         # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic CAS that missed            
lts__t_requests_aperture_device_op_red_lookup_miss                          # of LTS requests accessing device memory (vidmem) for reductions that missed                       
lts__t_requests_aperture_sysmem_op_write                                    # of LTS requests accessing system memory (sysmem) for writes                                       
smsp__sass_thread_inst_executed_op_control_pred_on                          # of control-flow thread instructions executed where all predicates were true                       
lts__t_requests_srcunit_tex_aperture_device_op_atom                         # of LTS requests from unit TEX accessing device memory (vidmem) for all atomics                    
lts__t_sectors_op_atom_dot_alu_lookup_miss                                  # of LTS sectors for atomic ALU (non-CAS) that missed                                               
lts__t_requests_srcunit_tex_op_atom_dot_cas                                 # of LTS requests from unit TEX for atomic CAS                                                      
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_ld                  # of bytes requested for surface loads                                                              
lts__t_requests_aperture_sysmem_op_read                                     # of LTS requests accessing system memory (sysmem) for reads                                        
smsp__inst_executed_op_generic_atom_dot_alu                                 # of warp instructions executed: ATOM.ALU, ATOMG.ALU (non-CAS)                                      
lts__t_requests_op_write                                                    # of LTS requests for writes                                                                        
l1tex__data_pipe_lsu_wavefronts_mem_shared                                  # of shared memory wavefronts processed by Data-Stage                                               
lts__t_requests_srcunit_l1_aperture_device_op_atom                          # of LTS requests from unit L1 accessing device memory (vidmem) for all atomics                     
lts__t_sectors_aperture_device_op_read_lookup_miss                          # of LTS sectors accessing device memory (vidmem) for reads that missed                             
l1tex__t_sectors_pipe_lsu_mem_local_op_ld                                   # of sectors requested for local loads                                                              
lts__t_sectors_srcunit_tex_aperture_peer_op_membar_lookup_miss              # of LTS sectors from unit TEX accessing peer memory (peermem) for memory barriers that missed      
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st                            # of STS wavefronts processed by Data-Stage                                                         
l1tex__t_set_accesses_pipe_tex_mem_surface                                  # of cache set accesses for surface                                                                 
lts__t_sectors_aperture_peer_op_read_lookup_miss                            # of LTS sectors accessing peer memory (peermem) for reads that missed                              
idc__requests                                                               # of IDC requests                                                                                   
fbpa__dram_sectors                                                          # of DRAM sectors accessed                                                                          
l1tex__t_bytes_pipe_lsu                                                     # of bytes requested for LSU pipe local/global                                                      
lts__t_requests_aperture_sysmem_lookup_miss                                 # of LTS requests accessing system memory (sysmem) that missed                                      
l1tex__t_requests_pipe_lsu_mem_local_op_ld                                  # of requests sent to T-Stage for local loads                                                       
lts__t_sectors_equiv_l1tagmiss                                              # of sectors requested                                                                              
lts__t_sectors_srcunit_l1_aperture_sysmem_op_membar_lookup_hit              # of LTS sectors from unit L1 accessing system memory (sysmem) for memory barriers that hit         
lts__t_sectors_aperture_device_op_membar_lookup_miss                        # of LTS sectors accessing device memory (vidmem) for memory barriers that missed                   
l1tex__t_sectors_pipe_tex_lookup_miss                                       # of sector requests to T-Stage that missed for TEX pipe                                            
l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_atom                         # of bytes written to L2# of sectors written to L2 for surface atomics                              
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_atom                 # of bytes requested for global atomics                                                             
l1tex__t_sectors_pipe_tex_mem_texture_lookup_hit                            # of sector requests to T-Stage with tag-hit and data-hit for texture                               
lts__t_sectors_aperture_sysmem_op_atom_dot_alu                              # of LTS sectors accessing system memory (sysmem) for atomic ALU (non-CAS)                          
l1tex__t_sectors_pipe_tex_mem_texture_op_ld_lookup_hit                      # of sector requests to T-Stage with tag-hit and data-hit for TLD instructions                      
lts__t_requests_op_write_lookup_miss                                        # of LTS requests for writes that missed                                                            
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ipa                           # of IPA wavefronts processed by Data-Stage                                                         
l1tex__t_set_conflicts_pipe_tex_mem_surface_op_ld                           # of extra cycles spent on set conflicts for surface loads                                          
l1tex__t_bytes_pipe_tex_mem_surface_op_st_lookup_miss                       # of bytes requested that missed for surface stores                                                 
smsp__pipe_shared_cycles_active                                             # of cycles where the 'shared pipe' fp16+tensor was active                                          
l1tex__t_bytes_pipe_lsu_mem_local_op_st                                     # of bytes requested for local stores                                                               
sm__mio_pq_read_cycles_active                                               # of cycles where MIOP PQ sent register operands to a pipeline                                      
lts__t_requests_srcunit_l1_op_write_lookup_hit                              # of LTS requests from unit L1 for writes that hit                                                  
lts__t_sectors_srcunit_l1_aperture_device_op_atom_lookup_hit                # of LTS sectors from unit L1 accessing device memory (vidmem) for all atomics that hit             
lts__t_sectors_aperture_sysmem_op_atom_dot_alu_lookup_miss                  # of LTS sectors accessing system memory (sysmem) for atomic ALU (non-CAS) that missed              
lts__t_sectors_srcunit_tex_lookup_hit                                       # of LTS sectors from unit TEX that hit                                                             
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_lookup_miss               # of LTS sectors from unit L1 accessing system memory (sysmem) for all atomics that missed          
sm__thread_inst_executed_pred_on_realtime                                   # of thread instructions executed                                                                   
lts__t_requests_srcunit_tex_aperture_device_op_atom_lookup_hit              # of LTS requests from unit TEX accessing device memory (vidmem) for all atomics that hit           
lts__t_requests_srcunit_tex_aperture_device_op_write_lookup_hit             # of LTS requests from unit TEX accessing device memory (vidmem) for writes that hit                
lts__t_requests_srcunit_l1_aperture_peer_lookup_miss                        # of LTS requests from unit L1 accessing peer memory (peermem) that missed                          
smsp__inst_executed_op_branch                                               # of warp instructions executed: BRA, BRX, JMP, JMX, CALL, RET                                      
l1tex__t_sectors_pipe_tex_mem_surface_op_atom                               # of sectors requested for surface atomics                                                          
lts__t_sectors_srcunit_l1_aperture_device_op_membar                         # of LTS sectors from unit L1 accessing device memory (vidmem) for memory barriers                  
l1tex__t_bytes                                                              # of bytes requested                                                                                
l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_miss                     # of sector requests to T-Stage that missed for surface loads                                       
l1tex__texin_requests_mem_texture                                           # of texture requests (quads) sent to TEXIN                                                         
lts__t_requests_srcunit_l1_lookup_hit                                       # of LTS requests from unit L1 that hit                                                             
lts__cycles_elapsed                                                         # of cycles elapsed on LTS                                                                          
lts__t_requests_srcunit_tex_op_membar_lookup_miss                           # of LTS requests from unit TEX for memory barriers that missed                                     
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_atom                      # of data bank conflicts generated by global atomics                                                
lts__t_requests_srcunit_tex_aperture_peer_op_membar_lookup_hit              # of LTS requests from unit TEX accessing peer memory (peermem) for memory barriers that hit        
l1tex__t_sectors_pipe_lsu_lookup_hit                                        # of sector requests to T-Stage with tag-hit and data-hit for LSU pipe local/global                 
lts__t_sectors_srcunit_l1_op_atom_dot_alu_lookup_hit                        # of LTS sectors from unit L1 for atomic ALU (non-CAS) that hit                                     
l1tex__t_set_conflicts_pipe_tex_mem_surface                                 # of extra cycles spent on set conflicts for surface                                                
lts__t_requests_srcunit_l1                                                  # of LTS requests from unit L1                                                                      
l1tex__t_set_accesses_pipe_lsu                                              # of cache set accesses for LSU pipe local/global                                                   
lts__t_requests_aperture_sysmem_op_atom_lookup_hit                          # of LTS requests accessing system memory (sysmem) for all atomics that hit                         
lts__t_requests_aperture_device_op_atom_lookup_hit                          # of LTS requests accessing device memory (vidmem) for all atomics that hit                         
l1tex__f_tex2sm_cycles_stalled                                              # of cycles where interface carrying return data from L1TEX F-Stage back to SM was stalled          
smsp__inst_executed_op_global_ld_pred_off_all                               # of warp instructions executed with all threads predicated off: LDG                                
lts__t_requests_aperture_peer_op_read_lookup_hit                            # of LTS requests accessing peer memory (peermem) for reads that hit                                
smsp__inst_executed_op_surface_ld_pred_off_all                              # of warp instructions executed with all threads predicated off: SULD                               
lts__t_requests_srcunit_tex_aperture_device_op_red_lookup_hit               # of LTS requests from unit TEX accessing device memory (vidmem) for reductions that hit            
l1tex__t_sectors_pipe_tex                                                   # of sectors requested for TEX pipe                                                                 
lts__t_sectors_srcunit_l1_op_atom_lookup_miss                               # of LTS sectors from unit L1 for all atomics that missed                                           
smsp__warps_launched_total                                                  # of warps launched including warps restored from pre-emption                                       
lts__t_requests_aperture_peer_op_atom_dot_alu                               # of LTS requests accessing peer memory (peermem) for atomic ALU (non-CAS)                          
lts__t_sectors_srcunit_tex_op_membar                                        # of LTS sectors from unit TEX for memory barriers                                                  
l1tex__m_xbar2l1tex_read_bytes_mem_surface_op_atom                          # of bytes read from L2 into L1TEX M-Stage# of sectors read from L2 into L1TEX M-Stage for surface  
                                                                            atomics                                                                                             
smsp__inst_executed_op_local_st_pred_on_any                                 # of warp instructions executed with at least 1 thread predicated on: STL                           
l1tex__data_pipe_lsu_wavefronts                                             # of local/global/shared wavefronts processed by Data-Stage                                         
smsp__warps_issue_stalled_drain                                             cumulative # of warps waiting after EXIT for all memory instructions to complete so that warp       
                                                                            resources can be freed                                                                              
l1tex__data_bank_conflicts_pipe_lsu_mem_shared                              # of data bank conflicts generated by shared ops                                                    
smsp__inst_executed_op_generic_ld                                           # of warp instructions executed: LD                                                                 
smsp__inst_executed_op_surface_atom_dot_cas_pred_on_any                     # of warp instructions executed with at least 1 thread predicated on: SUATOM.CAS                    
l1tex__t_bytes_pipe_tex_mem_surface_op_red_lookup_miss                      # of bytes requested that missed for surface reductions                                         
lts__t_requests_srcunit_tex_op_write                                        # of LTS requests from unit TEX for writes                                                      
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_alu                     # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS)          
lts__t_requests_op_read                                                     # of LTS requests for reads                                                                     
lts__t_sectors_srcunit_l1_op_membar                                         # of LTS sectors from unit L1 for memory barriers                                               
lts__t_sectors_aperture_device_op_write_lookup_hit                          # of LTS sectors accessing device memory (vidmem) for writes that hit                           
lts__t_sectors_srcunit_tex_aperture_peer_op_write                           # of LTS sectors from unit TEX accessing peer memory (peermem) for writes                       
smsp__warps_issue_stalled_sleeping                                          cumulative # of warps waiting for a nanosleep to expire                                         
lts__t_requests_srcunit_tex_aperture_sysmem_op_membar                       # of LTS requests from unit TEX accessing system memory (sysmem) for memory barriers            
lts__t_requests_srcunit_tex_op_read_lookup_hit                              # of LTS requests from unit TEX for reads that hit                                              
lts__t_requests_srcunit_tex_aperture_peer_op_read_lookup_miss               # of LTS requests from unit TEX accessing peer memory (peermem) for reads that missed           
lts__t_requests_srcunit_l1_aperture_sysmem_op_atom                          # of LTS requests from unit L1 accessing system memory (sysmem) for all atomics                 
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_miss               # of LTS sectors from unit TEX accessing system memory (sysmem) for reductions that missed      
l1tex__t_bytes_pipe_tex_mem_texture_lookup_miss                             # of bytes requested that missed for texture                                                    
sm__mio_pq_write_cycles_active                                              # of cycles where register operands from the register file were written to MIO PQ               
l1tex__t_bytes_pipe_lsu_mem_global_op_atom_lookup_hit                       # of bytes requested with tag-hit and data-hit for global atomics                               
smsp__sass_thread_inst_executed_op_fp64_pred_on                             # of double-precision floating-point thread instructions executed where all predicates were true
lts__t_requests_srcunit_tex_aperture_device_op_red                          # of LTS requests from unit TEX accessing device memory (vidmem) for reductions                 
gpu__time_active                                                            total duration in nanoseconds                                                                   
l1tex__t_bytes_pipe_lsu_mem_global_op_ld                                    # of bytes requested for global loads                                                           
sm__mio_pq_read_cycles_active_pipe_lsu                                      # of cycles where MIOP PQ sent register operands to the lsu pipe                                
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu                    # of LTS sectors from unit TEX accessing peer memory (peermem) for atomic ALU (non-CAS)         
sm__pipe_shared_cycles_active                                               # of cycles where the 'shared pipe' fp16+tensor was active                                      
l1tex__data_pipe_lsu_wavefronts_mem_shared_cmd_read                         # of shared read wavefronts processed by Data-Stage                                             
lts__t_sectors_srcunit_tex_op_write_lookup_miss                             # of LTS sectors from unit TEX for writes that missed                                           
lts__t_sectors_srcunit_l1_aperture_sysmem_op_write                          # of LTS sectors from unit L1 accessing system memory (sysmem) for writes                       
lts__t_sectors_srcunit_l1_aperture_device_op_read_lookup_hit                # of LTS sectors from unit L1 accessing device memory (vidmem) for reads that hit               
lts__t_requests_srcunit_l1_aperture_peer_op_membar_lookup_hit               # of LTS requests from unit L1 accessing peer memory (peermem) for memory barriers that hit     
lts__t_sectors_srcunit_l1_aperture_sysmem_op_write_lookup_miss              # of LTS sectors from unit L1 accessing system memory (sysmem) for writes that missed           
lts__t_sectors_aperture_sysmem_op_write_lookup_miss                         # of LTS sectors accessing system memory (sysmem) for writes that missed                        
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st                       # of wavefronts sent to Data-Stage from T-Stage for surface stores                              
sm__pipe_tensor_cycles_active                                               # of cycles where tensor pipe was active                                                        
smsp__sass_thread_inst_executed_op_fadd_pred_on                             # of FADD thread instructions executed where all predicates were true                           
lts__t_sectors_srcunit_l1_op_atom_dot_alu                                   # of LTS sectors from unit L1 for atomic ALU (non-CAS)                                          
lts__t_sectors_op_read_lookup_hit                                           # of LTS sectors for reads that hit                                                             
l1tex__t_output_wavefronts_pipe_tex                                         # of wavefronts sent to Data-Stage from T-Stage for TEX pipe                                    
lts__t_sectors_aperture_peer_op_atom_dot_alu_lookup_miss                    # of LTS sectors accessing peer memory (peermem) for atomic ALU (non-CAS) that missed           
l1tex__m_xbar2l1tex_read_sectors_mem_lg_op_ld                               # of sectors read from L2 into L1TEX M-Stage for local/global loads                             
lts__t_sectors_srcunit_tex_op_membar_lookup_hit                             # of LTS sectors from unit TEX for memory barriers that hit                                     
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface                        # of bytes requested for surface                                                                
lts__t_sectors_srcunit_l1_aperture_device_lookup_miss                       # of LTS sectors from unit L1 accessing device memory (vidmem) that missed                      
lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_cas                   # of LTS sectors from unit L1 accessing device memory (vidmem) for atomic CAS                   
l1tex__t_set_accesses_pipe_lsu_mem_global_op_atom                           # of cache set accesses for global atomics                                                      
l1tex__data_pipe_tex_wavefronts_mem_surface                                 # of surface wavefronts processed by Data-Stage                                                 
lts__t_requests_aperture_peer_op_membar_lookup_miss                         # of LTS requests accessing peer memory (peermem) for memory barriers that missed               
l1tex__t_bytes_pipe_lsu_mem_global_op_st_lookup_miss                        # of bytes requested that missed for global stores                                              
sm__pipe_tensor_op_hmma_cycles_active                                       # of cycles where HMMA tensor pipe was active                                                   
lts__t_requests_srcunit_l1_op_membar_lookup_hit                             # of LTS requests from unit L1 for memory barriers that hit                                     
smsp__cycles_in_frame                                                       # of cycles in user-defined frame                                                               
l1tex__t_bytes_pipe_lsu_mem_local_op_ld_lookup_hit                          # of bytes requested with tag-hit and data-hit for local loads                                  
l1tex__t_set_accesses_pipe_lsu_mem_global_op_red                            # of cache set accesses for global reductions                                                   
smsp__inst_executed_pipe_fma                                                # of warp instructions executed by fma pipe                                                     
sm__inst_executed_pipe_cbu_pred_off_all                                     # of warp instructions executed by cbu pipe with all threads predicated off                     
l1tex__texin_requests                                                       # of requests sent to TEXIN                                                                     
l1tex__t_set_accesses_pipe_lsu_mem_local_op_ld                              # of cache set accesses for local loads                                                         
lts__t_requests_srcunit_tex_aperture_device_op_red_lookup_miss              # of LTS requests from unit TEX accessing device memory (vidmem) for reductions that missed     
l1tex__data_bank_writes                                                     # of data bank writes                                                                           
sm__cycles_active_shader_cs                                                 # of cycles where CS warps were resident                                                        
smsp__inst_executed_pipe_tex                                                # of warp instructions executed by tex pipe                                                     
lts__t_sectors_srcunit_l1_aperture_sysmem_op_read_lookup_hit                # of LTS sectors from unit L1 accessing system memory (sysmem) for reads that hit               
l1tex__t_bytes_pipe_lsu_mem_global_op_atom_lookup_miss                      # of bytes requested that missed for global atomics                                             
smsp__sass_thread_inst_executed_op_ffma_pred_on                             # of FFMA thread instructions executed where all predicates were true                           
gpc__cycles_active                                                          # of cycles where GPC was active                                                                
lts__t_requests_srcunit_tex_aperture_sysmem_op_read_lookup_miss             # of LTS requests from unit TEX accessing system memory (sysmem) for reads that missed          
smsp__sass_inst_executed_op_memory_32b                                      # of warp instructions executed by memory instructions with width 32 bit                        
lts__t_requests_aperture_device_op_atom_lookup_miss                         # of LTS requests accessing device memory (vidmem) for all atomics that missed                  
sm__idc_divergent_instruction_replays                                       # of IDC instruction replays due to address divergence                                          
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_cas                   # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic CAS                   
fbpa__dram_read_sectors                                                     # of DRAM read sectors                                                                          
lts__t_requests_srcunit_l1_lookup_miss                                      # of LTS requests from unit L1 that missed                                                      
smsp__inst_executed                                                         # of warp instructions executed                                                                 
smsp__mio2rf_writeback_active_pipe_lsu                                      # of cycles where the MIO to register file writeback interface was active for LSU return data   
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface                         # of sectors requested for surface                                                              
smsp__sass_thread_inst_executed                                             # of thread instructions executed                                                               
l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_miss                       # of sector requests to T-Stage that missed for local loads                                     
lts__t_sectors_srcunit_l1_op_write                                          # of LTS sectors from unit L1 for writes                                                        
smsp__inst_executed_op_surface_atom                                         # of warp instructions executed: SUATOM.*                                                       
smsp__inst_executed_op_global_st_pred_off_all                               # of warp instructions executed with all threads predicated off: STG                            
lts__t_sectors_op_write                                                     # of LTS sectors for writes                                                                     
l1tex__m_l1tex2xbar_write_sectors                                           # of sectors written to L2                                                                      
lts__t_requests_srcunit_l1_aperture_device_op_red_lookup_hit                # of LTS requests from unit L1 accessing device memory (vidmem) for reductions that hit         
smsp__inst_executed_op_shared_atom_dot_alu                                  # of warp instructions executed: ATOMS.ALU (non-CAS)                                            
smsp__sass_thread_inst_executed_op_dfma_pred_on                             # of DFMA thread instructions executed where all predicates were true                           
smsp__warps_issue_stalled_misc                                              cumulative # of warps waiting on a miscellaneous hardware reason                                
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_st                   # of bytes requested for global stores                                                          
l1tex__m_l1tex2xbar_req_cycles_active                                       # of cycles where interface from L1TEX M-Stage to XBAR was active                               
smsp__issue_active                                                          # of active cycles where 1 instruction was issued                                               
lts__t_requests_srcunit_tex_op_membar_lookup_hit                            # of LTS requests from unit TEX for memory barriers that hit                                    
smsp__sass_thread_inst_executed_op_dmul_pred_on                             # of DMUL thread instructions executed where all predicates were true                           
l1tex__data_bank_conflicts_pipe_lsu_cmd_read                                # of data bank conflicts generated by LSU reads                                                 
lts__t_requests_srcunit_tex_aperture_peer_op_red                            # of LTS requests from unit TEX accessing peer memory (peermem) for reductions                  
smsp__inst_issued                                                           # of warp instructions issued                                                                   
lts__t_sectors_aperture_device_op_atom_dot_cas_lookup_miss                  # of LTS sectors accessing device memory (vidmem) for atomic CAS that missed                    
l1tex__m_l1tex2xbar_write_bytes_mem_lg_op_st                                # of bytes written to L2# of sectors written to L2 for local/global stores                      
l1tex__t_sectors_pipe_tex_mem_texture_lookup_miss                           # of sector requests to T-Stage that missed for texture                                         
lts__t_requests_srcunit_l1_aperture_device_op_red_lookup_miss               # of LTS requests from unit L1 accessing device memory (vidmem) for reductions that missed      
lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_lookup_miss             # of LTS requests from unit TEX accessing system memory (sysmem) for all atomics that missed    
smsp__inst_executed_pipe_fp16                                               # of warp instructions executed by fp16 pipe                                                    
l1tex__t_set_accesses_pipe_tex_mem_surface_op_red                           # of cache set accesses for surface reductions                                                  
lts__t_requests_srcunit_l1_aperture_device_op_write                         # of LTS requests from unit L1 accessing device memory (vidmem) for writes                      
lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_lookup_hit               # of LTS requests from unit L1 accessing system memory (sysmem) for all atomics that hit          
sm__inst_executed                                                           # of warp instructions executed                                                                   
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_lookup_miss                # of LTS sectors from unit TEX accessing peer memory (peermem) for all atomics that missed        
lts__t_sectors_srcunit_l1_aperture_peer_op_read_lookup_hit                  # of LTS sectors from unit L1 accessing peer memory (peermem) for reads that hit                  
lts__t_sectors_srcunit_tex_aperture_device_op_atom                          # of LTS sectors from unit TEX accessing device memory (vidmem) for all atomics                   
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom                           # of LTS sectors from unit L1 accessing system memory (sysmem) for all atomics                    
lts__t_requests_aperture_peer_op_atom_lookup_hit                            # of LTS requests accessing peer memory (peermem) for all atomics that hit                        
lts__t_sectors_aperture_device_op_atom_dot_cas_lookup_hit                   # of LTS sectors accessing device memory (vidmem) for atomic CAS that hit                         
lts__t_sectors_aperture_device_op_atom_lookup_hit                           # of LTS sectors accessing device memory (vidmem) for all atomics that hit                        
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_alu_lookup_miss         # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS) that missed
lts__t_requests_srcunit_tex_aperture_device_op_membar_lookup_miss           # of LTS requests from unit TEX accessing device memory (vidmem) for memory barriers that missed  
lts__t_requests_aperture_peer_op_red                                        # of LTS requests accessing peer memory (peermem) for reductions                                  
l1tex__t_bytes_pipe_lsu_mem_local_op_ld_lookup_miss                         # of bytes requested that missed for local loads                                                  
lts__t_requests_srcunit_l1_aperture_peer_op_atom_lookup_hit                 # of LTS requests from unit L1 accessing peer memory (peermem) for all atomics that hit           
l1tex__texin_requests_mem_surface_op_atom                                   # of requests sent to TEXIN for surface atomic instructions (SUATOM, SUATOM.CAS)                  
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_texture                         # of sectors requested for texture                                                                
lts__t_sectors_op_atom_dot_alu_lookup_hit                                   # of LTS sectors for atomic ALU (non-CAS) that hit                                                
smsp__issue_inst1                                                           # of active cycles where 1 instruction was issued                                                 
smsp__sass_inst_executed_op_global                                          # of warp instructions executed: LDG, STG, LD, ST, ATOM, ATOMG                                    
l1tex__m_xbar2l1tex_read_sectors                                            # of sectors read from L2 into L1TEX M-Stage                                                      
smsp__pipe_alu_cycles_active                                                # of cycles where alu pipe was active                                                             
idc__requests_lookup_miss                                                   # of IDC requests that missed                                                                     
smsp__inst_executed_pipe_ipa                                                # of warp instructions executed by ipa pipe                                                       
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_texture_op_ld                   # of sectors requested for TLD instructions                                                       
smsp__sass_thread_inst_executed_op_hmul_pred_on                             # of HMUL thread instructions executed where all predicates were true                             
smsp__warps_restored                                                        # of warp preemption-restore events                                                               
lts__t_sectors_aperture_sysmem_op_read                                      # of LTS sectors accessing system memory (sysmem) for reads                                       
l1tex__t_set_accesses_pipe_tex_mem_surface_op_ld                            # of cache set accesses for surface loads                                                         
smsp__inst_executed_op_surface_ld                                           # of warp instructions executed: SULD                                                             
lts__t_bytes_equiv_l1sectormiss_pipe_lsu                                    # of bytes requested for LSU pipe local/global                                                    
lts__t_requests_srcunit_tex_op_atom_lookup_miss                             # of LTS requests from unit TEX for all atomics that missed                                       
lts__t_sectors_aperture_device_op_write                                     # of LTS sectors accessing device memory (vidmem) for writes                                      
lts__t_requests_srcunit_tex_aperture_device_op_atom_dot_alu                 # of LTS requests from unit TEX accessing device memory (vidmem) for atomic ALU (non-CAS)         
l1tex__t_requests_pipe_tex_mem_texture_op_ld                                # of requests sent to T-Stage from the TEX pipe for TLD instructions                              
lts__t_sectors_srcunit_l1_aperture_device_op_atom                           # of LTS sectors from unit L1 accessing device memory (vidmem) for all atomics                    
lts__t_sectors_srcunit_l1_op_read_lookup_hit                                # of LTS sectors from unit L1 for reads that hit                                                  
lts__t_requests_aperture_device_op_write_lookup_miss                        # of LTS requests accessing device memory (vidmem) for writes that missed                         
lts__t_sectors_srcunit_l1_aperture_device_op_write_lookup_miss              # of LTS sectors from unit L1 accessing device memory (vidmem) for writes that missed             
lts__t_sectors_srcunit_l1_aperture_device                                   # of LTS sectors from unit L1 accessing device memory (vidmem)                                    
gpu__cycles_in_region                                                       # of cycles in user-defined region                                                                
